"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"2645","2021/05/12 17:38:25","2021/05/12 18:30:57","00:53:22","Default","2367","General Multiple","none(none)","FINISHED","none"
"2644","2021/05/12 17:33:36","2021/05/12 18:27:40","00:54:38","Default","2366","General Multiple","none(none)","FINISHED","none"
"2643","2021/05/12 17:33:30","2021/05/12 19:53:08","02:19:38 (not finished yet)","Default","2365","General Multiple","none(none)","DATA_RETRIEVED","none"
"2642","2021/05/12 17:33:11","2021/05/12 18:47:41","01:14:57","Default","2364","General Multiple","none(none)","FINISHED","none"
"2641","2021/05/12 17:28:56","2021/05/12 18:33:02","01:05:12","Default","2363","General Multiple","none(none)","FINISHED","none"
"2640","2021/05/12 17:25:22","2021/05/12 18:46:13","01:20:58","Default","2362","General Multiple","none(none)","FINISHED","none"
"2639","2021/05/12 17:24:25","2021/05/12 18:40:42","01:16:50","Default","2361","General Multiple","none(none)","FINISHED","none"
"2638","2021/05/12 17:24:00","2021/05/12 18:10:24","00:52:24","Default","2360","General Multiple","none(none)","FINISHED","none"
"2637","2021/05/12 17:23:57","2021/05/12 18:16:20","00:53:44","Default","2359","General Multiple","none(none)","FINISHED","none"
"2636","2021/05/12 17:23:39","2021/05/12 18:11:46","00:50:03","Default","2358","General Multiple","none(none)","FINISHED","none"
"2635","2021/05/12 17:22:41","2021/05/12 17:45:47","00:23:06 (not finished yet)","Default","2357","General Multiple","none(none)","DATA_RETRIEVED","none"
"2634","2021/05/12 17:22:33","2021/05/12 18:30:43","01:09:18","Default","2356","General Multiple","none(none)","FINISHED","none"
"2633","2021/05/12 17:22:25","2021/05/12 17:58:31","00:37:35","Default","2355","General Multiple","none(none)","FINISHED","none"
"2632","2021/05/12 17:22:12","2021/05/12 17:54:15","00:33:54","Default","2354","General Multiple","none(none)","FINISHED","none"
"2631","2021/05/12 17:21:30","2021/05/12 18:27:36","01:07:34","Default","2353","General Multiple","none(none)","FINISHED","none"
"2630","2021/05/12 17:21:10","2021/05/12 18:27:16","01:07:07","Default","2352","General Multiple","none(none)","FINISHED","none"
"2629","2021/05/12 17:20:54","2021/05/12 18:09:04","00:48:18","Default","2351","General Multiple","none(none)","FINISHED","none"
"2628","2021/05/12 17:20:15","2021/05/12 17:50:18","00:31:48","Default","2350","General Multiple","none(none)","FINISHED","none"
"2627","2021/05/12 17:20:06","2021/05/12 17:44:09","00:25:07","Default","2349","General Multiple","none(none)","FINISHED","none"
"2626","2021/05/12 17:19:52","2021/05/12 17:23:54","00:04:02 (not finished yet)","Default","2348","General Multiple","none(none)","DATA_RETRIEVED","none"
"2625","2021/05/12 17:19:20","2021/05/12 17:51:23","00:33:13","Default","2347","General Multiple","none(none)","FINISHED","none"
"2624","2021/05/12 17:19:18","2021/05/12 17:19:19","00:00:01 (not finished yet)","Default","2346","General Multiple","none(none)","DATA_RETRIEVED","none"
"2623","2021/05/12 17:19:02","2021/05/12 18:09:06","00:50:35","Default","2345","General Multiple","none(none)","FINISHED","none"
"2622","2021/05/12 17:19:00","2021/05/12 19:01:50","01:43:36","Default","2344","General Multiple","none(none)","FINISHED","none"
"2621","2021/05/12 17:18:59","2021/05/12 18:21:06","01:03:40","Default","2343","General Multiple","none(none)","FINISHED","none"
"2620","2021/05/12 17:18:55","2021/05/12 17:18:58","00:00:03 (not finished yet)","Default","2342","General Multiple","none(none)","DATA_RETRIEVED","none"
"2619","2021/05/12 17:18:44","2021/05/12 18:00:52","00:43:15","Default","2341","General Multiple","none(none)","FINISHED","none"
"2618","2021/05/12 17:18:43","2021/05/12 18:12:50","00:54:29","Default","2340","General Multiple","none(none)","FINISHED","none"
"2617","2021/05/12 17:18:30","2021/05/12 18:38:36","01:20:34","Default","2339","General Multiple","none(none)","FINISHED","none"
"2616","2021/05/12 17:18:15","2021/05/12 18:40:23","01:22:08 (not finished yet)","Default","2338","General Multiple","none(none)","DATA_RETRIEVED","none"
"2615","2021/05/12 17:18:14","2021/05/12 17:54:34","00:36:20 (not finished yet)","Default","2337","General Multiple","none(none)","DATA_RETRIEVED","none"
"2614","2021/05/12 17:18:04","2021/05/12 18:24:13","01:08:08","Default","2336","General Multiple","none(none)","FINISHED","none"
"2613","2021/05/12 17:17:41","2021/05/12 18:01:49","00:45:58","Default","2335","General Multiple","none(none)","FINISHED","none"
"2612","2021/05/12 17:17:40","2021/05/12 17:41:44","00:25:39","Default","2334","General Multiple","none(none)","FINISHED","none"
"2611","2021/05/12 17:17:33","2021/05/12 18:15:37","00:58:57","Default","2333","General Multiple","none(none)","FINISHED","none"
"2610","2021/05/12 17:17:33","2021/05/12 18:19:33","01:03:19","Default","2332","General Multiple","none(none)","FINISHED","none"
"2609","2021/05/12 17:17:32","2021/05/12 19:01:40","01:45:44","Default","2331","General Multiple","none(none)","FINISHED","none"
"2608","2021/05/12 17:17:32","2021/05/12 18:21:39","01:05:21","Default","2330","General Multiple","none(none)","FINISHED","none"
"2607","2021/05/12 17:17:29","2021/05/12 18:31:50","01:15:30","Default","2329","General Multiple","none(none)","FINISHED","none"
"2606","2021/05/12 17:17:28","2021/05/12 18:03:53","00:47:43","Default","2328","General Multiple","none(none)","FINISHED","none"
"2605","2021/05/12 17:17:24","2021/05/12 18:39:32","01:22:45","Default","2327","General Multiple","none(none)","FINISHED","none"
"2604","2021/05/12 17:17:22","2021/05/12 18:29:29","01:13:50","Default","2326","General Multiple","none(none)","FINISHED","none"
"2603","2021/05/12 17:17:19","2021/05/12 19:19:30","02:02:37","Default","2325","General Multiple","none(none)","FINISHED","none"
"2602","2021/05/12 17:17:03","2021/05/12 17:17:04","00:00:01 (not finished yet)","Default","2324","General Multiple","none(none)","DATA_RETRIEVED","none"
"2601","2021/05/12 17:16:59","2021/05/12 18:09:05","00:52:37","Default","2323","General Multiple","none(none)","FINISHED","none"
