session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
609bf8df4f15549d73acb8bd,5e7d790c0d34ae3fef75c74e,AWAITING REVIEW,2021-05-12 15:51:51.129000,2021-05-12 16:46:53.303000,3302.174,41,367,2,100,,71CD10C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
609bf92f4ebe8b3d67b55ad2,6069da3bec564fdd3645dab3,RETURNED,2021-05-12 15:50:13.386000,,1783962.007123,49,53,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609bfb3e4bfbe463d7caeed2,6085ef6781a630230df99939,RETURNED,2021-05-12 16:08:54.421000,,1782840.972214,30,33,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609c00e189aa8ef1f11f6b58,5ee379c2c1832e050bac5c14,AWAITING REVIEW,2021-05-12 16:23:20.463000,2021-05-12 17:04:58.480000,2498.017,36,573,2,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
609c012976a9900bec25c48b,571de12713b1b70012be47f6,AWAITING REVIEW,2021-05-12 16:24:13.674000,2021-05-12 17:31:57.578000,4063.904,65,2086,9,100,,71CD10C6,India,United Kingdom,Part-Time,English,United Kingdom,Male,No
609c0222cb7ba2de4ed7e55b,60292fb1bf92e7828428ed62,AWAITING REVIEW,2021-05-12 16:37:22.527000,2021-05-12 18:36:20.308000,7137.781,56,88,1,100,,71CD10C6,United Kingdom,United Kingdom,Other,DATA EXPIRED,United Kingdom,Male,No
609c054edac62e8a977da09f,5f217ac62c1f5e54b8b36ecb,AWAITING REVIEW,2021-05-12 16:41:57.767000,2021-05-12 17:48:51.713000,4013.946,47,229,2,100,,71CD10C6,United States,United Kingdom,Part-Time,English,United Kingdom,Female,No
609c063510c041733937e65b,60890f7cbb8ae36ed49e1129,AWAITING REVIEW,2021-05-12 16:45:45.717000,2021-05-12 18:04:03.267000,4697.55,37,55,1,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Male,No
609c090a1e2a1027a760d192,56f597c5736c79000b228052,AWAITING REVIEW,2021-05-12 16:57:46.254000,2021-05-12 17:42:45.469000,2699.215,35,986,7,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
609c09b9e5e7c8be98f24c04,605b570718ffe578ceb2bd32,AWAITING REVIEW,2021-05-12 17:00:56.301000,2021-05-12 19:09:56.331000,7740.03,29,55,0,100,,71CD10C6,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,United Kingdom,Male,No
609c09e49abd383f2f0bdeae,5f347f7a0bfd1e3a18693ec3,RETURNED,2021-05-12 17:12:00.109000,,1779055.334604,28,242,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609c0a3a65d7d05c3263bcb6,5b1efc25bdf4e1000163af46,AWAITING REVIEW,2021-05-12 17:03:00.142000,2021-05-12 17:56:12.079000,3191.937,34,1029,7,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
609c0e0326e03f4dfb878ade,60708764c70cff143376021e,AWAITING REVIEW,2021-05-12 17:19:20.463000,2021-05-12 18:06:51.700000,2851.237,38,71,1,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Female,No
609c1015511e204b8a5d46fe,603758e41c4468b882a74700,AWAITING REVIEW,2021-05-12 17:27:51.787000,2021-05-12 17:53:57.560000,1565.773,38,83,0,100,,71CD10C6,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,United Kingdom,Female,No
609c12259a1867c2684760d1,5e8f8a0916c52a0ca559c590,RETURNED,2021-05-12 17:36:42.618000,,1777572.844013,19,215,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609c159120896686fb34c1c8,5ddd81685be2df000bcd679a,AWAITING REVIEW,2021-05-12 17:51:15.546000,2021-05-12 18:21:06.871000,1791.325,24,529,5,99,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
609c18be23d2af496ccae7d3,5f6b8c1f5622370b0c94d597,AWAITING REVIEW,2021-05-12 18:04:46.986000,2021-05-12 19:01:03.561000,3376.575,33,241,0,100,,71CD10C6,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,United Kingdom,Male,No
609c1a5975a2bd00b65abdce,5e992379f1bb6715d48226e0,AWAITING REVIEW,2021-05-12 18:11:41.964000,2021-05-12 19:32:44.388000,4862.424,32,542,1,100,,71CD10C6,United States,United States,Full-Time,English,United States,Male,No
609c1baa22a2b07e991fde75,606226520b95abbc59802c10,AWAITING REVIEW,2021-05-12 18:17:19.061000,2021-05-12 18:55:19.540000,2280.479,23,47,0,100,,71CD10C6,Canada,Canada,Part-Time,DATA EXPIRED,Canada,Female,No
609c1c3ab775c975f154aa75,5dcf0e94fce60605794da411,AWAITING REVIEW,2021-05-12 18:19:38.155000,2021-05-12 19:25:24.825000,3946.67,,1292,3,100,,71CD10C6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
609c2304eb46222827ec84d4,5fc50bb38378c80ac88354ef,RETURNED,2021-05-12 18:48:42.672000,,1773252.833106,63,594,6,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609c275791ecddaf2f508215,6037a63eb08c240350cfd0db,APPROVED,2021-05-12 19:07:33.421000,2021-05-12 20:08:13.044000,3639.623,47,85,0,100,2021-05-26 14:56:38.993000,71CD10C6,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Female,No
609c29e45b87e04bc4074cf0,55eb3fea748092000daa9b25,AWAITING REVIEW,2021-05-12 19:17:58.767000,2021-05-12 19:55:51.851000,2273.084,20,450,1,100,,71CD10C6,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
609c2acd974b39c28cd7210b,5fd3a666364e0c05179d5d5b,AWAITING REVIEW,2021-05-12 19:21:52.408000,2021-05-12 20:29:05.508000,4033.1,19,56,0,100,,71CD10C6,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
609c305010b82c0ced3142f5,5d99f1a45a1126001c5c0a84,AWAITING REVIEW,2021-05-12 19:45:22.169000,2021-05-12 20:15:16.531000,1794.362,38,1273,1,100,,71CD10C6,United States,United States,Full-Time,English,United States,Male,No
609c39d7905d7b90b165462e,5fecb45bf0b5ed997f79db67,AWAITING REVIEW,2021-05-12 20:26:16.392000,2021-05-12 21:00:32.939000,2056.547,20,165,0,100,,71CD10C6,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,United Kingdom,Male,Yes
609c3a5c97cfb24e23781b59,5bc3a0bd44b393000103d6ff,AWAITING REVIEW,2021-05-12 20:28:23.290000,2021-05-12 21:17:46.009000,2962.719,46,640,2,100,,71CD10C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
609c52242b6de312010f7ad4,5e243c063d2e1b6bcce4c82f,AWAITING REVIEW,2021-05-12 22:17:28.422000,2021-05-12 22:56:56.508000,2368.086,37,309,2,100,,71CD10C6,Germany,Australia,Full-Time,English,Australia,Female,No
609ce76debfff61da57b4798,5ca8cc500adbf40001d8425a,AWAITING REVIEW,2021-05-13 08:46:54.778000,2021-05-13 09:23:53.637000,2218.859,21,383,0,100,,71CD10C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
609cf02ce50fd44c0a3d9e26,5b9d73ec6b0f63000148db87,AWAITING REVIEW,2021-05-13 09:23:57.678000,2021-05-13 10:36:29.542000,4351.864,33,360,4,99,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
609d10583bd58d8baa3392b7,5ea1a0bbb95a340549382019,RETURNED,2021-05-13 11:41:14.619000,,1712500.939446,22,99,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609d278ff6e8aa0d4667b88b,5f2aa04952f67f2f20d13b0e,RETURNED,2021-05-13 13:20:18.742000,,1706556.816507,39,131,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609d53cc800cfd061b3c82bd,60892fe702789a871ccd8913,AWAITING REVIEW,2021-05-13 16:29:05.666000,2021-05-13 17:41:17.304000,4331.638,24,68,0,100,,71CD10C6,Algeria,Spain,Full-Time,DATA EXPIRED,Algeria,Male,No
609e31da4b56a82c1a08be24,5e6bb512e18e0d03e89a7831,AWAITING REVIEW,2021-05-14 08:16:26.115000,2021-05-14 10:19:36.208000,7390.093,23,319,4,98,,71CD10C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
609ebc51ecb95577e55c3bdc,5f8836a5fb70462a169fc0ac,AWAITING REVIEW,2021-05-14 18:07:14.611000,2021-05-14 18:57:29.271000,3014.66,25,239,3,100,,71CD10C6,United Kingdom,Hungary,Full-Time,DATA EXPIRED,United Kingdom,Male,Yes
60a05a8fef615a2e8bcd0cab,60524fce05a8332eb23e2d34,AWAITING REVIEW,2021-05-15 23:34:42.952000,2021-05-16 00:21:47.601000,2824.649,34,85,1,100,,71CD10C6,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
60acdd4808dcf87b9c658268,607ec555b03ef314387999bf,RETURNED,2021-05-25 11:20:03.809000,,676971.774255,27,15,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ad470c6a9a388de4ecebc3,5d7cf3d8f3a7cf00016e11c4,AWAITING REVIEW,2021-05-25 18:50:56.447000,2021-05-25 19:26:58.287000,2161.84,25,309,3,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
60b4ed3392677ddaf8ab937f,606a2905de983f03b5db05f7,AWAITING REVIEW,2021-05-31 14:05:41.071000,2021-05-31 14:31:07.106000,1526.035,31,57,0,100,,71CD10C6,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Male,Yes
