CAM_ID	participantCAM	mean_1_technologicalimplant	mean_2_technologicalimplant	mean_1_dashed_technologicalimplant	mean_2_dashed_technologicalimplant	mean_2_weighted_technologicalimplant	mean_2_weighted_dashed_technologicalimplant
alcojo2_2316	alcojo2_2316	-0.5	-0.47058823529411764	-0.5	-0.47058823529411764	-0.48	-0.35294117647058826
apchro2_2171	apchro2_2171	-1.5555555555555556	-0.9090909090909091	-1.5555555555555556	-0.9090909090909091	-1.096774193548387	-0.7727272727272727
babrsh2_2145	babrsh2_2145	1.1428571428571428	0.4117647058823529	1.1428571428571428	0.4117647058823529	0.625	0.4411764705882353
babuim2_2216	babuim2_2216	-1.1666666666666667	-1.3076923076923077	-1.1666666666666667	-1.3076923076923077	-1.24	-1.1923076923076923
bechan2_2141	bechan2_2141	0.125	0	0.125	0	0.038461538461538464	0.027777777777777776
bopofr2_2182	bopofr2_2182	1.2	0.7058823529411765	1.2	0.7058823529411765	0.8888888888888888	0.7058823529411765
brabgo2_2174	brabgo2_2174	0	-0.11764705882352941	0	-0.11764705882352941	-0.08333333333333333	-0.058823529411764705
brhuan2_2129	brhuan2_2129	-0.16666666666666666	0.05	-0.16666666666666666	0.05	0	0
bumado2_2180	bumado2_2180	-0.5	-0.6923076923076923	-0.5	-0.6923076923076923	-0.6190476190476191	-0.5
cabero2_2172	cabero2_2172	0	0.2727272727272727	0	0.2727272727272727	0.1875	0.13636363636363635
chbost2_2127	chbost2_2127	-0.4444444444444444	-0.4482758620689655	-0.4444444444444444	-0.4482758620689655	-0.4473684210526316	-0.29310344827586204
chrost2_2159	chrost2_2159	0.5	0.9230769230769231	0.5	0.9230769230769231	0.7894736842105263	0.5769230769230769
cofrni2_2204	cofrni2_2204	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667
crjori2_2140	crjori2_2140	0	-0.16666666666666666	0	-0.16666666666666666	-0.11764705882352941	-0.08333333333333333
dewaed2_2230	dewaed2_2230	0.375	0.15	0.375	0.15	0.21428571428571427	0.15
dheaku2_2155	dheaku2_2155	1	1.2857142857142858	1	1.2857142857142858	1.1538461538461537	1.0714285714285714
dinoro2_2118	dinoro2_2118	0.42857142857142855	0.21052631578947367	0.42857142857142855	0.21052631578947367	0.30303030303030304	0.2631578947368421
fastst2_2392	fastst2_2392	1.1666666666666667	0.6363636363636364	1.1666666666666667	0.6363636363636364	0.8235294117647058	0.6363636363636364
foblcr2_2187	foblcr2_2187	-0.8571428571428571	-0.2222222222222222	-0.8571428571428571	-0.2222222222222222	-0.4	-0.2777777777777778
gicrto2_2157	gicrto2_2157	0.2222222222222222	0.4117647058823529	0.2222222222222222	0.4117647058823529	0.34615384615384615	0.2647058823529412
grstri2_2121	grstri2_2121	NA	NA	NA	NA	NA	NA
guohti2_2183	guohti2_2183	NA	NA	NA	NA	NA	NA
habrfa2_2156	habrfa2_2156	0.5	0.06666666666666667	0.5	0.06666666666666667	0.19047619047619047	0.13333333333333333
halida2_2167	halida2_2167	NA	NA	NA	NA	NA	NA
hateah2_2147	hateah2_2147	0.42857142857142855	0.3125	0.42857142857142855	0.3125	0.34782608695652173	0.25
haweph2_2169	haweph2_2169	-1	-0.23809523809523808	-1	-0.23809523809523808	-0.38461538461538464	-0.23809523809523808
kabosa2_2114	kabosa2_2114	NA	NA	NA	NA	NA	NA
knbane2_2144	knbane2_2144	NA	NA	NA	NA	NA	NA
lamigr2_2146	lamigr2_2146	-0.3333333333333333	-0.5454545454545454	-0.3333333333333333	-0.5454545454545454	-0.47058823529411764	-0.36363636363636365
lesole2_2160	lesole2_2160	NA	NA	NA	NA	NA	NA
lileal2_2188	lileal2_2188	NA	NA	NA	NA	NA	NA
maaval2_2115	maaval2_2115	-0.14285714285714285	1.375	-0.14285714285714285	1.375	0.9130434782608695	0.65625
makgda2_2139	makgda2_2139	-0.75	-0.6363636363636364	-0.75	-0.6363636363636364	-0.6842105263157895	-0.5909090909090909
maorpa2_2154	maorpa2_2154	NA	NA	NA	NA	NA	NA
maphro2_2148	maphro2_2148	0.5555555555555556	0.6153846153846154	0.5555555555555556	0.6153846153846154	0.5909090909090909	0.5
mcinow2_2150	mcinow2_2150	-0.4	-0.4166666666666667	-0.4	-0.4166666666666667	-0.4117647058823529	-0.2916666666666667
mecopa2_2123	mecopa2_2123	-0.21428571428571427	0.22727272727272727	-0.21428571428571427	0.22727272727272727	0.05555555555555555	0.045454545454545456
melial2_2161	melial2_2161	NA	NA	NA	NA	NA	NA
moaahe2_2186	moaahe2_2186	-0.4	-0.13333333333333333	-0.4	-0.13333333333333333	-0.24	-0.2
mogljo2_2133	mogljo2_2133	0.3333333333333333	0	0.3333333333333333	0	0.1111111111111111	0.08333333333333333
nabiqa2_2173	nabiqa2_2173	0	-0.6666666666666666	0	-0.6666666666666666	-0.5	-0.3333333333333333
nnpopa2_2151	nnpopa2_2151	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333	-1.3333333333333333
nonakr2_2130	nonakr2_2130	-0.42857142857142855	-0.11764705882352941	-0.42857142857142855	-0.11764705882352941	-0.20833333333333334	-0.14705882352941177
nxduvi2_2217	nxduvi2_2217	-0.375	0.46153846153846156	-0.375	0.46153846153846156	0.14285714285714285	0.11538461538461539
pabita2_2136	pabita2_2136	-0.5	-0.16666666666666666	-0.5	-0.16666666666666666	-0.2777777777777778	-0.20833333333333334
palofa2_2184	palofa2_2184	0.3333333333333333	0.3684210526315789	0.3333333333333333	0.3684210526315789	0.36	0.23684210526315788
pebime2_2143	pebime2_2143	1.1111111111111112	0.07142857142857142	1.1111111111111112	0.07142857142857142	0.4782608695652174	0.39285714285714285
pebrta2_2165	pebrta2_2165	0.3333333333333333	0.21052631578947367	0.3333333333333333	0.21052631578947367	0.24	0.15789473684210525
peviwe2_2175	peviwe2_2175	0	-0.25	0	-0.25	-0.2	-0.125
prloja2_2126	prloja2_2126	1	0.75	1	0.75	0.8333333333333334	0.625
rimian2_2153	rimian2_2153	NA	NA	NA	NA	NA	NA
rolimi2_2164	rolimi2_2164	0.5	0.5294117647058824	0.5	0.625	0.46153846153846156	0.4375
saalra2_2190	saalra2_2190	-0.23076923076923078	0.9166666666666666	-0.23076923076923078	0.9166666666666666	0.5135135135135135	0.3958333333333333
sabuel2_2162	sabuel2_2162	NA	NA	NA	NA	NA	NA
sahvda2_2134	sahvda2_2134	-0.6666666666666666	-0.4	-0.6666666666666666	-0.4	-0.5	-0.4
saloim2_2149	saloim2_2149	0.4	0	0.4	0	0.14285714285714285	0.1111111111111111
siroro2_2163	siroro2_2163	-1.2	-1	-1.2	-1	-1.0714285714285714	-0.8333333333333334
sitesh2_2138	sitesh2_2138	NA	NA	NA	NA	NA	NA
skdeco2_2142	skdeco2_2142	-0.6	-0.6666666666666666	-0.6	-0.6666666666666666	-0.6470588235294118	-0.4583333333333333
slnyse2_2177	slnyse2_2177	0.16666666666666666	0.5714285714285714	0.16666666666666666	0.5714285714285714	0.38461538461538464	0.35714285714285715
smkijo2_2192	smkijo2_2192	NA	NA	NA	NA	NA	NA
sutoje2_2122	sutoje2_2122	0	0.08333333333333333	0	0.08333333333333333	0.043478260869565216	0.041666666666666664
swpoma2_2166	swpoma2_2166	0	-0.2	0	-0.2	-0.15384615384615385	-0.1
sybash2_2119	sybash2_2119	1.3333333333333333	1.3333333333333333	1.3333333333333333	1.3333333333333333	1.3333333333333333	1.3333333333333333
