CAM_ID	participantCAM	mean_valence_macro	mean_valence_normed_macro	density_macro	transitivity_macro	centr_degree_macro	centr_clo_macro	centr_betw_macro	centr_eigen_macro	meanDistance_directed_macro	meanDistance_undirected_macro	diameter_weighted_undirected_macro	diameter_unweighted_undirected_macro	diameter_unweighted_directed_macro	num_nodes_macro	num_nodes_pos_macro	num_nodes_neg_macro	num_nodes_neut_macro	num_nodes_ambi_macro	num_edges_macro	num_edges_solid_macro	num_edges_dashed_macro	num_edges_invaliddashed_macro	meanWeightEdges_macro	reciprocity_macro	assortativity_valence_macro	assortativityDegree_macro	degreetot_micro_technologicalimplant	valence_micro_technologicalimplant	centr_clo_micro_technologicalimplant
alcojo2_2316	alcojo2_2316	-0.6111111111111112	-0.1111111111111111	0.09150326797385622	0.2465753424657534	0.12110726643598616	0.4198377865957326	0.47034107760751365	0.6099954433810357	1.7580645161290323	2.4836601307189543	10	5	4	18	6	8	3	1	28	23	5	2	2	0.07142857142857142	0.1813752030319431	-0.08949416342412446	7	0	1
apchro2_2171	apchro2_2171	-0.8695652173913043	-0.43478260869565216	0.043478260869565216	0	0.1446280991735537	0.5362698248173297	0.8404171585989768	0.814522886690226	1.3823529411764706	3.027667984189723	10	5	3	23	4	14	1	4	22	22	0	0	2	0	0.5132743362831859	-0.12237159600137859	8	0	1
babrsh2_2145	babrsh2_2145	0.1	0.1	0.09473684210526316	0.05172413793103448	0.12188365650969529	0.4192845473583797	0.6116633955969135	0.765464700321806	2.871657754010695	2.9842105263157896	14	6	6	20	10	8	1	1	36	31	5	2	2.361111111111111	0.5555555555555556	0.034277198211622624	0.14558026537095842	6	0	1
babuim2_2216	babuim2_2216	-1.3076923076923077	-0.38461538461538464	0.07692307692307693	0	0.4131944444444444	0.9004556050010597	0.9709595959595959	0.7790419442198204	1	1.9743589743589745	6	3	1	13	3	8	2	0	12	4	8	1	2	0	-0.6344086021505373	-0.8676639815880327	11	0	1
bechan2_2141	bechan2_2141	0.2	0	0.05263157894736842	0	0.13850415512465375	0.5118808461320619	0.819636811326562	0.7822698429165903	1.4857142857142858	3.0894736842105264	15	6	3	20	7	7	1	5	20	17	3	2	2.2	0.1	0.29038281979458397	-0.06024096385542168	7	0	1
bopofr2_2182	bopofr2_2182	0.2857142857142857	0.09523809523809523	0.06666666666666667	0	0.16625	0.4871354597375138	0.8339473684210527	0.7350373905762166	1.5319148936170213	3.2095238095238097	14	7	4	21	8	6	3	4	28	17	11	2	2	0.5714285714285714	-0.003935286401399537	-0.35483870967741926	9	0	1
brabgo2_2174	brabgo2_2174	-0.55	-0.2	0.12894736842105264	0.28448275862068967	0.19667590027700832	0.3283991394848194	0.2952929905838494	0.7023276308211664	2.6196581196581197	2.4368421052631577	10	5	7	20	4	8	5	3	49	37	12	0	2.2857142857142856	0.5714285714285714	0.034050179211468794	-0.020954875580426437	6	0	0.942857142857143
brhuan2_2129	brhuan2_2129	-0.16666666666666666	-0.25	0.043478260869565216	0.061224489795918366	0.09073724007561437	0.4250365746345933	0.7148994672624163	0.7395912987647147	1.5555555555555556	3.318840579710145	10	5	3	24	7	13	0	4	24	24	0	2	2	0	0.3753753753753761	-0.37579617834394863	5	-2	1
bumado2_2180	bumado2_2180	-0.6923076923076923	-0.38461538461538464	0.07692307692307693	0	0.2326388888888889	0.5512206972653223	0.7159090909090909	0.6948826958819587	1.4	2.230769230769231	7	3	2	13	2	7	1	3	12	9	3	0	2.0833333333333335	0	-0.5000000000000011	-0.8387096774193549	7	0	1
cabero2_2172	cabero2_2172	0.2727272727272727	0	0.1181818181818182	0.23076923076923078	0.09	0.44354951632729434	0.5603703703703704	0.6150507475103419	1.5	2.381818181818182	8	4	3	11	4	4	3	0	13	13	0	0	2	0	0.08450704225352104	-0.5	4	0	1
chbost2_2127	chbost2_2127	-0.4838709677419355	-0.12903225806451613	0.04408602150537634	0.192	0.09222222222222222	0.4684932283417354	0.7142656449553	0.7539737752207633	1.8181818181818181	3.098924731182796	16	6	6	31	11	15	1	4	41	17	24	16	2.658536585365854	0	0.457578372159907	-0.3015873015873017	8	0	1
chrost2_2159	chrost2_2159	1.0714285714285714	0.35714285714285715	0.14285714285714285	0	0.2603550295857988	0.49124670801334896	0.7209072978303748	0.7215676737817152	2.8131868131868134	2.8131868131868134	15	5	5	14	9	4	1	0	26	26	0	0	2.923076923076923	1	0.13333333333333333	-0.2428940568475456	10	0	1
cofrni2_2204	cofrni2_2204	0.4666666666666667	0.13333333333333333	0.09047619047619047	0.14705882352941177	0.4387755102040816	0.9701775147928997	0.9391679748822606	0.756335436097737	1.05	1.819047619047619	4	2	2	15	7	5	1	2	19	16	3	0	2	0	-0.25680933852140003	-0.6322230326606694	14	0	1
crjori2_2140	crjori2_2140	0.2857142857142857	0.07142857142857142	0.07142857142857142	0	0.1301775147928994	0.42046028106883343	0.6400394477317555	0.6774299349306934	1.5	2.9450549450549453	13	5	3	14	7	6	1	0	13	11	2	0	2.3846153846153846	0	0.2613636363636385	-0.5837563451776648	4	0	1
dewaed2_2230	dewaed2_2230	-0.34615384615384615	-0.19230769230769232	0.038461538461538464	0	0.1056	0.4102407992099367	0.7761333333333333	0.827674734515207	1.7450980392156863	3.649230769230769	16	8	4	26	10	15	0	1	25	25	0	0	2	0	0.11131898971000771	-0.08120035304501311	7	0	1
dheaku2_2155	dheaku2_2155	1.2857142857142858	0.42857142857142855	0.2142857142857143	0	0.5277777777777778	0.7857142857142857	0.8777777777777778	0.7388761161058819	1.8076923076923077	1.9047619047619047	9	3	3	7	4	1	1	1	9	8	1	0	2.7777777777777777	0.6666666666666666	-0.4754098360655731	-0.7831325301204816	8	0	1
dinoro2_2118	dinoro2_2118	0.21052631578947367	0.10526315789473684	0.06432748538011696	0.033707865168539325	0.3132716049382716	0.7278712557988444	0.9045025417574437	0.7716749495572437	1.2903225806451613	2.3216374269005846	8	4	2	19	8	6	4	1	22	22	0	1	2	0.2727272727272727	-0.2827988338192408	-0.6142832793591275	13	0	1
fastst2_2392	fastst2_2392	0.6363636363636364	0.36363636363636365	0.1	0	0.22	0.5405172413793102	0.7088888888888889	0.7373946215394871	1.9333333333333333	2.4	9	4	3	11	7	3	1	0	11	10	1	0	2.090909090909091	0.18181818181818182	-0.3237822349570179	-0.4277879341864715	6	0	1
foblcr2_2187	foblcr2_2187	-0.2222222222222222	-0.1111111111111111	0.06535947712418301	0.13953488372093023	0.11764705882352941	0.5161825478343418	0.7296712802768166	0.7070880685856585	1.3103448275862069	2.7973856209150325	8	4	2	18	4	6	1	7	20	19	1	0	2	0	-0.09999999999999964	-0.24679760888129793	6	0	1
gicrto2_2157	gicrto2_2157	0.2777777777777778	0.05555555555555555	0.06209150326797386	0	0.18339100346020762	0.5568768741434956	0.8235294117647058	0.75321835945272	1.3793103448275863	2.7908496732026142	11	5	3	18	9	8	1	0	19	10	9	5	2.263157894736842	0.21052631578947367	0.10377358490565884	-0.33458021612635075	8	0	1
grstri2_2121	grstri2_2121	-1.3333333333333333	-0.3333333333333333	0.3333333333333333	0	0.25	1.0000000000000004	1	0.5857864376269051	1.3333333333333333	1.3333333333333333	4	2	2	3	1	2	0	0	2	1	1	0	2	0	-0.3333333333333333	-1	NA	NA	NA
guohti2_2183	guohti2_2183	0	-0.14285714285714285	0.19047619047619047	0.3	0.16666666666666666	0.6083333333333334	0.6888888888888889	0.5016092888581702	1.2	2.0476190476190474	8	4	2	7	2	3	1	1	8	8	0	0	2	0.25	0.36	-0.16363636363636364	NA	NA	NA
habrfa2_2156	habrfa2_2156	-0.3157894736842105	-0.05263157894736842	0.09649122807017545	0.14634146341463414	0.13271604938271606	0.3585424792289602	0.5580973129992738	0.8156185899831546	2.481818181818182	3.2339181286549707	13	6	6	19	7	8	1	3	33	32	1	0	2.0606060606060606	0.7272727272727273	-0.18135764944275637	-0.2433993399339936	5	0	1
halida2_2167	halida2_2167	0	0	0.14285714285714285	0	0.4166666666666667	1.0000000000000002	1	0.7101020514433645	1	1.7142857142857142	4	2	1	7	3	3	1	0	6	6	0	0	2	0	-0.8181818181818182	-1	NA	NA	NA
hateah2_2147	hateah2_2147	0.11764705882352941	0.058823529411764705	0.08823529411764706	0.13333333333333333	0.23828125	0.4871771291579767	0.70859375	0.8131174208124357	2.7050359712230216	2.8088235294117645	10	5	5	17	7	6	2	2	24	19	5	0	2	0.3333333333333333	0.055238095238095024	-0.09368191721132904	10	0	1
haweph2_2169	haweph2_2169	-0.23809523809523808	-0.14285714285714285	0.05476190476190477	0.05	0.1	0.44417489823014605	0.5527631578947368	0.6340794691769032	1.4102564102564104	2.947619047619048	8	4	2	21	8	11	2	0	23	23	0	0	2	0	-0.016064257028112594	-0.7700364298724953	4	0	1
kabosa2_2114	kabosa2_2114	0	0	0.13333333333333333	0.25	0.16049382716049382	0.4634653540903542	0.5617283950617284	0.4223296761111496	1.7083333333333333	2.066666666666667	7	3	3	10	4	4	1	1	12	9	3	0	2.0833333333333335	0	-0.15755627009646153	-0.6666666666666666	NA	NA	NA
knbane2_2144	knbane2_2144	0	0	0.16666666666666666	0.14285714285714285	0.1640625	0.5357402010107143	0.556919642857143	0.5479231531828895	1.619047619047619	2.0555555555555554	9	4	4	9	3	3	2	1	12	11	1	0	2.3333333333333335	0.16666666666666666	-0.37499999999999983	-0.13207547169811265	NA	NA	NA
