session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608eaa371e706f5ba2f56979,5b1efc25bdf4e1000163af46,AWAITING REVIEW,2021-05-02 13:33:45.231000,2021-05-02 14:43:18.420000,4173.189,34,991,7,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
608eaa3747c53e53ee705e5d,5ea944c287b415000ce42862,AWAITING REVIEW,2021-05-02 13:33:43.217000,2021-05-02 14:24:51.521000,3068.304,46,249,0,100,,2A25E7C1,Spain,Spain,Full-Time,Spanish,English,Spain,Male,Yes
608eaa37995b98fb606aaa86,603c124974df2e8f9f375fa8,AWAITING REVIEW,2021-05-02 13:40:42.893000,2021-05-02 15:06:16.210000,5133.317,37,85,0,100,,2A25E7C1,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Female,No
608eaa38576cc26229dda37d,607ec555b03ef314387999bf,AWAITING REVIEW,2021-05-02 13:33:44.023000,2021-05-02 14:51:18.370000,4654.347,27,6,0,100,,2A25E7C1,South Africa,,Unemployed (and job seeking),,English,South Africa,Male,No
608eaa388597ab26f6bc0a77,60362e857c4589632889c8ac,RETURNED,2021-05-02 13:33:44.941000,,78164.050444,24,76,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa38c13a9435a2ec6d44,5fafbd983a31c6276f84f572,AWAITING REVIEW,2021-05-02 13:33:44.730000,2021-05-02 15:04:58.949000,5474.219,22,154,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,No
608eaa394316444195abfb72,5f5eec89adff681a180f6aa4,RETURNED,2021-05-02 13:33:45.025000,,78163.979408,26,99,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa39728aade7f573b42d,605986be77c362e33eac85c2,AWAITING REVIEW,2021-05-02 13:39:40.465000,2021-05-02 15:15:45.563000,5765.098,35,17,0,100,,2A25E7C1,South Africa,South Africa,Full-Time,,English,South Africa,Male,No
608eaa39e9b41d7942f85f93,5c2e33e751dcf20001b3204d,AWAITING REVIEW,2021-05-02 13:33:45.359000,2021-05-02 14:13:23.138000,2377.779,32,651,1,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
608eaa39e9b41d7942f85f96,5dc71b96d210e45213e92359,AWAITING REVIEW,2021-05-02 13:33:45.965000,2021-05-02 14:59:28.801000,5142.836,42,577,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
