CAM	participantCAM	id	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
1927	absdw1_1927	29608	29323	29343	6	1	0	NA	NA
1927	absdw1_1927	29597	29323	29331	6	1	0	NA	NA
1927	absdw1_1927	29596	29323	29325	6	1	0	NA	NA
1927	absdw1_1927	29595	29323	29324	6	1	0	NA	NA
1906	alcoj1_1906	29419	29124	29147	6	1	1	NA	NA
1906	alcoj1_1906	29417	29128	29135	6	1	1	NA	NA
1906	alcoj1_1906	29414	29124	29126	6	1	1	NA	NA
1906	alcoj1_1906	29411	29138	29169	6	1	1	NA	NA
1906	alcoj1_1906	29409	29126	29141	6	1	1	NA	NA
1906	alcoj1_1906	29407	29141	29169	6	1	1	NA	NA
1906	alcoj1_1906	29406	29126	29141	6	1	0	NA	NA
1906	alcoj1_1906	29403	29137	29147	6	1	0	NA	NA
1906	alcoj1_1906	29401	29137	29148	6	1	1	NA	NA
1906	alcoj1_1906	29400	29147	29148	6	1	0	NA	NA
1906	alcoj1_1906	29397	29124	29128	6	1	1	NA	NA
1906	alcoj1_1906	29381	29131	29124	6	1	0	NA	NA
1906	alcoj1_1906	29394	29124	29138	6	1	1	NA	NA
1906	alcoj1_1906	29386	29155	29142	6	1	1	NA	NA
1906	alcoj1_1906	29384	29142	29144	6	1	1	NA	NA
1906	alcoj1_1906	29383	29155	29144	6	1	1	NA	NA
1906	alcoj1_1906	29379	29138	29135	6	1	1	NA	NA
1906	alcoj1_1906	29375	29124	29135	6	1	1	NA	NA
1906	alcoj1_1906	29373	29135	29124	6	1	1	NA	NA
1906	alcoj1_1906	29372	29124	29155	6	1	1	NA	NA
1856	apchr1_1856	28470	28312	28537	6	1	0	NA	NA
1856	apchr1_1856	28450	28312	28516	6	1	0	NA	NA
1856	apchr1_1856	28431	28312	28512	6	0	0	NA	NA
1856	apchr1_1856	28389	28397	28459	6	0	0	NA	NA
1856	apchr1_1856	28386	28312	28350	6	0	0	NA	NA
1856	apchr1_1856	28378	28312	28411	6	0	0	NA	NA
1856	apchr1_1856	28372	28312	28459	6	1	0	NA	NA
1856	apchr1_1856	28356	28331	28359	6	1	0	NA	NA
1856	apchr1_1856	28355	28312	28331	6	1	0	NA	NA
1871	babrs1_1871	28945	28584	28835	6	1	1	NA	NA
1871	babrs1_1871	28916	28523	28907	6	1	0	NA	NA
1871	babrs1_1871	28519	28584	28546	6	1	1	NA	NA
1871	babrs1_1871	28809	28794	28523	6	1	1	NA	NA
1871	babrs1_1871	28817	28794	28835	6	1	1	NA	NA
1871	babrs1_1871	28812	28718	28779	6	1	0	NA	NA
1871	babrs1_1871	28751	28747	28523	6	0	1	NA	NA
1871	babrs1_1871	28754	28747	28756	6	1	1	NA	NA
1871	babrs1_1871	28718	28727	28718	6	0	1	NA	NA
1871	babrs1_1871	28716	28523	28718	6	1	0	NA	NA
1871	babrs1_1871	28623	28642	28523	6	0	1	NA	NA
1871	babrs1_1871	28643	28618	28523	9	0	1	NA	NA
1871	babrs1_1871	28595	28632	28642	6	0	1	NA	NA
1871	babrs1_1871	28562	28609	28618	6	1	0	NA	NA
1871	babrs1_1871	28507	28546	28523	6	1	1	NA	NA
1971	babui1_1971	29978	29630	29632	6	0	0	NA	NA
1971	babui1_1971	29977	29618	29645	6	1	0	NA	NA
1971	babui1_1971	29976	29618	29647	6	1	0	NA	NA
1971	babui1_1971	29975	29645	29647	6	1	0	NA	NA
1971	babui1_1971	29974	29618	29648	6	1	0	NA	NA
1971	babui1_1971	29973	29618	29645	6	0	0	NA	NA
1971	babui1_1971	29972	29618	29647	6	0	0	NA	NA
1971	babui1_1971	29971	29618	29642	6	1	0	NA	NA
1971	babui1_1971	29970	29618	29648	6	1	0	NA	NA
1971	babui1_1971	29969	29618	29646	6	1	0	NA	NA
1971	babui1_1971	29968	29618	29645	6	1	0	NA	NA
1971	babui1_1971	29967	29618	29647	6	1	0	NA	NA
1971	babui1_1971	29966	29618	29647	6	1	0	NA	NA
